[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002136s ]
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002216s ]
[ 2013-04-16T10:20:56+08:00 ] /xbsdv5/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | NOTIC: [8] Undefined variable: notlogin 0dfc9ae07ec4b1c52b694a1bf79b1e62.php 第 38 行.
[ 2013-04-16T10:20:57+08:00 ] /xbsdv5/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.482610s ]
